traffic,item,Time,video,Image_index
w-outbound,None,0.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,6
w-outbound,None,0.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,15
w-outbound,None,1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,30
w-inbound,None,1.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,41
min-s-onbound,,1.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,45
w-outbound,None,1.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,54
w-outbound,None,2.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,69
w-outbound,with brood,2.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,76
w-inbound,None,2.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,79
w-outbound,None,2.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,84
w-outbound,None,2.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,87
w-outbound,None,3.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,95
w-outbound,None,3.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,113
w-outbound,None,3.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,119
w-inbound,None,4.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,125
w-outbound,None,4.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,130
w-inbound,None,4.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,135
w-inbound,None,4.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,149
w-inbound,None,5.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,174
min-s-onbound,,6.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,197
w-outbound,None,7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,210
min-s-onbound,,7.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,218
min-s-inbound,,7.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,229
w-inbound,None,8.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,246
min-s-inbound,,8.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,261
maj-s-inbound,,9.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,275
w-outbound,None,9.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,285
w-outbound,None,10.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,312
maj-s-inbound,,10.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,316
w-outbound,None,10.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,322
w-outbound,None,11.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,332
w-outbound,None,11.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,341
maj-s-onbound,,11.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,356
w-outbound,None,12.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,367
w-inbound,None,12.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,370
maj-s-onbound,,13.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,401
min-s-inbound,,14.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,422
maj-s-inbound,,14.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,436
w-outbound,None,15.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,456
min-s-onbound,,15.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,475
min-s-onbound,,15.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,479
w-outbound,None,16.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,487
w-outbound,None,16.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,489
w-outbound,with food,16.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,498
w-outbound,None,17,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,510
w-outbound,None,17.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,520
w-inbound,None,17.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,539
w-inbound,None,18.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,550
w-inbound,None,18.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,553
min-s-inbound,,19.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,573
min-s-onbound,,19.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,581
w-inbound,None,19.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,585
w-outbound,None,19.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,594
min-s-inbound,,20,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,600
w-inbound,None,20.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,614
w-inbound,None,21.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,632
min-s-inbound,,21.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,644
w-inbound,None,21.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,652
w-inbound,None,22.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,662
min-s-onbound,,22.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,672
w-inbound,None,22.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,685
w-inbound,None,22.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,687
w-outbound,None,23.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,698
w-inbound,None,23.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,702
w-inbound,None,23.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,716
w-inbound,None,24.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,737
w-inbound,None,24.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,743
w-inbound,None,25.133,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,754
w-inbound,with brood,25.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,765
w-inbound,None,25.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,777
w-inbound,None,26.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,791
min-s-onbound,,26.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,795
w-inbound,None,26.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,807
w-outbound,with brood,27.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,823
min-s-inbound,,27.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,835
w-inbound,None,28.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,845
w-inbound,None,28.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,858
w-outbound,None,29.133,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,874
w-inbound,None,29.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,881
maj-s-inbound,,29.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,895
maj-s-onbound,,30.033,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,901
w-outbound,None,30.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,905
min-s-inbound,,30.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,922
min-s-inbound,,30.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,927
w-inbound,None,31.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,935
w-inbound,None,31.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,946
w-inbound,None,32.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,962
maj-s-inbound,,32.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,975
w-inbound,None,33.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,999
w-inbound,None,33.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1015
w-inbound,None,34.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1027
w-inbound,None,34.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1033
w-inbound,None,34.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1043
min-s-inbound,,35.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1056
w-inbound,None,35.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1060
w-inbound,None,35.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1074
w-outbound,None,36.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1086
min-s-onbound,,36.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1098
w-inbound,None,36.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1101
w-inbound,None,36.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1108
w-inbound,with food,37.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1115
w-inbound,None,37.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1126
maj-s-inbound,,38.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1153
w-inbound,None,38.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1158
min-s-inbound,,39,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1170
w-inbound,None,39.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1179
min-s-onbound,,39.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1186
w-outbound,None,39.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1190
w-inbound,None,39.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1193
w-inbound,None,40.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1203
w-outbound,None,40.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1205
min-s-onbound,,40.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1208
w-outbound,None,40.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1216
w-inbound,None,40.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1220
min-s-inbound,,40.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1228
w-outbound,None,41.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1235
w-inbound,with food,41.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1242
w-outbound,with food,42.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1265
w-outbound,with food,42.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1273
min-s-inbound,,42.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1281
w-outbound,None,42.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1285
min-s-inbound,,43.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1292
w-outbound,with food,43.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1296
w-inbound,None,43.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1303
w-outbound,None,43.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1308
min-s-inbound,,43.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1319
w-inbound,None,44.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1322
min-s-onbound,,44.2,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1326
w-outbound,None,44.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1336
w-outbound,None,44.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1343
w-outbound,None,45,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1350
w-inbound,None,45.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1353
min-s-inbound,,45.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1359
w-outbound,None,45.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1364
w-inbound,with brood,45.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1379
w-inbound,None,46.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1397
w-outbound,with brood,46.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1404
w-outbound,None,46.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1407
w-inbound,None,46.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1409
min-s-onbound,,47.133,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1414
w-outbound,None,47.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1420
w-outbound,None,47.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1435
w-inbound,None,48.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1448
maj-s-onbound,,48.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1451
w-inbound,None,48.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1458
min-s-onbound,,48.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1462
w-inbound,None,48.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1469
w-outbound,None,49.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1472
w-inbound,None,49.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1479
min-s-inbound,,49.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1490
w-inbound,with food,49.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1495
w-outbound,with food,49.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1496
w-outbound,None,50.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1507
w-inbound,None,50.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1510
maj-s-inbound,,50.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1529
w-inbound,None,51.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1541
w-outbound,None,51.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1555
w-outbound,None,52.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1563
min-s-inbound,,52.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1571
w-outbound,None,52.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1574
w-inbound,None,52.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1580
w-inbound,None,52.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1582
w-outbound,with food,52.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1588
w-inbound,None,53.133,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1594
w-outbound,with food,53.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1595
w-outbound,None,53.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1601
w-outbound,None,53.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1606
w-outbound,None,53.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1607
w-inbound,None,53.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1610
w-outbound,None,53.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1615
min-s-inbound,,54,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1620
w-inbound,None,54.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1627
w-outbound,None,54.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1631
min-s-inbound,,54.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1638
maj-s-onbound,,54.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1640
min-s-inbound,,54.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1649
w-outbound,None,55.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1661
w-outbound,None,55.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1666
maj-s-onbound,,56.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1689
min-s-inbound,,56.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1700
min-s-onbound,,57.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1724
min-s-onbound,,58.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1751
maj-s-onbound,,58.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1755
min-s-onbound,,59.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1773
w-inbound,None,59.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1783
w-outbound,with food,59.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1793
min-s-inbound,,59.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1797
w-inbound,None,59.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_1.mp4,1798
w-outbound,with food,60.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,5
w-inbound,None,60.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,7
w-outbound,with food,60.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,14
min-s-onbound,,60.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,23
min-s-inbound,,60.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,26
w-outbound,with brood,61.067,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,32
w-outbound,with brood,61.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,40
w-outbound,with brood,61.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,42
w-outbound,None,61.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,49
nymph-outbound,None,61.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,51
maj-s-inbound,,61.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,54
w-inbound,None,62.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,63
w-outbound,with food,62.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,70
w-outbound,None,62.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,76
w-outbound,None,62.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,83
w-outbound,None,63.133,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,94
min-s-inbound,,63.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,111
w-outbound,with food,64.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,133
maj-s-inbound,,64.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,138
w-outbound,None,64.7,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,141
w-outbound,None,64.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,148
w-outbound,with food,65.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,157
w-outbound,with food,65.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,163
w-outbound,with brood,65.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,170
w-outbound,with food,65.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,179
w-outbound,with food,66.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,185
w-outbound,with brood,66.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,188
w-outbound,with food,66.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,197
w-outbound,with food,66.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,207
min-s-onbound,,67.233,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,217
w-outbound,with food,67.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,218
w-outbound,with brood,67.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,226
w-outbound,with food,67.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,227
w-outbound,None,67.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,229
min-s-inbound,,67.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,230
w-inbound,None,67.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,233
w-outbound,with brood,67.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,235
maj-s-onbound,,67.9,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,237
w-outbound,None,68.033,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,241
w-outbound,with food,68.133,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,244
w-outbound,None,68.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,249
w-outbound,None,68.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,250
w-inbound,None,68.367,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,251
w-outbound,None,68.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,257
w-outbound,with food,68.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,258
min-s-inbound,,68.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,262
w-outbound,None,68.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,265
w-inbound,None,68.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,268
w-outbound,with food,68.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,269
w-outbound,with food,69.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,273
w-outbound,None,69.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,280
w-outbound,None,69.4,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,282
w-outbound,with brood,69.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,286
w-outbound,with food,69.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,292
w-outbound,with food,69.8,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,294
w-inbound,None,69.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,295
w-outbound,with food,70.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,305
w-outbound,with food,70.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,326
maj-s-inbound,,70.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,328
w-outbound,with food,71.167,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,335
w-outbound,with food,71.433,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,343
w-outbound,with food,71.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,355
min-s-onbound,,71.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,359
w-outbound,with food,72,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,360
w-outbound,with food,72.1,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,363
w-outbound,with brood,72.533,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,376
w-inbound,None,73.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,398
maj-s-onbound,,73.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,400
w-outbound,None,73.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,404
w-outbound,with food,73.733,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,412
w-outbound,None,73.933,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,418
w-outbound,with food,73.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,419
w-inbound,None,74.267,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,428
w-outbound,None,74.333,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,430
min-s-onbound,,74.467,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,434
w-outbound,with brood,74.5,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,435
w-outbound,with brood,74.6,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,438
maj-s-inbound,,74.767,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,443
w-outbound,None,74.833,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,445
w-outbound,with food,74.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,446
w-outbound,with brood,74.967,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,449
w-outbound,with brood,75.3,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,459
w-outbound,with food,75.567,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,467
w-outbound,None,75.633,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,469
maj-s-onbound,,75.667,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,470
w-outbound,with brood,75.867,videos\Lon_lon_NM23074_nest-emigration_230607_00_clip_2.mp4,476
